experiment,split,mechanism,threshold,metric,TP,FP,FN,precision,recall,f1,mAP50,mAP50_95
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,@50,S-IoU,519,243,41,68.11023622047244,92.67857142857143,78.51739788199697,0.8513881319446335,0.6112447595770498
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,@75,IoU,513,249,177,67.32283464566929,74.34782608695653,70.6611570247934,0.8513881319446335,0.6112447595770498
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,@75,S-IoU,440,322,72,57.74278215223097,85.9375,69.07378335949764,0.8513881319446335,0.6112447595770498
juniperus_btm_homogeneous_20260824_103026,test,expert_E1_scale_solo,@50,IoU,606,147,84,80.47808764940238,87.82608695652175,83.99168399168398,0.8498175742540044,0.5940270224895832
juniperus_btm_homogeneous_20260824_103026,test,expert_E1_scale_solo,@50,S-IoU,503,250,50,66.79946879150066,90.95840867992767,77.0290964777948,0.8498175742540044,0.5940270224895832
juniperus_btm_homogeneous_20260824_103026,test,expert_E1_scale_solo,@75,IoU,496,257,194,65.86985391766268,71.8840579710145,68.74566874566875,0.8498175742540044,0.5940270224895832
juniperus_btm_homogeneous_20260824_103026,test,expert_E1_scale_solo,@75,S-IoU,412,341,81,54.7144754316069,83.56997971602435,66.13162118780096,0.8498175742540044,0.5940270224895832
juniperus_btm_homogeneous_20260824_103026,test,expert_E2_illum_solo,@50,IoU,609,144,81,80.87649402390437,88.26086956521739,84.4074844074844,0.8551314080027246,0.6098502378125794
juniperus_btm_homogeneous_20260824_103026,test,expert_E2_illum_solo,@50,S-IoU,520,233,30,69.05710491367863,94.54545454545455,79.81580966999233,0.8551314080027246,0.6098502378125794
juniperus_btm_homogeneous_20260824_103026,test,expert_E2_illum_solo,@75,IoU,502,251,188,66.66666666666666,72.7536231884058,69.57726957726959,0.8551314080027246,0.6098502378125794
juniperus_btm_homogeneous_20260824_103026,test,expert_E2_illum_solo,@75,S-IoU,427,326,69,56.70650730411687,86.08870967741935,68.37469975980785,0.8551314080027246,0.6098502378125794
juniperus_btm_homogeneous_20260824_103026,test,expert_E3_geom_solo,@50,IoU,571,157,119,78.43406593406593,82.7536231884058,80.53596614950635,0.7974139548803385,0.35573276889197425
juniperus_btm_homogeneous_20260824_103026,test,expert_E3_geom_solo,@50,S-IoU,496,232,41,68.13186813186813,92.36499068901304,78.4189723320158,0.7974139548803385,0.35573276889197425
juniperus_btm_homogeneous_20260824_103026,test,expert_E3_geom_solo,@75,IoU,277,451,413,38.04945054945055,40.14492753623188,39.0691114245416,0.7974139548803385,0.35573276889197425
juniperus_btm_homogeneous_20260824_103026,test,expert_E3_geom_solo,@75,S-IoU,411,317,51,56.456043956043956,88.96103896103897,69.07563025210084,0.7974139548803385,0.35573276889197425
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,@50,IoU,637,275,53,69.84649122807018,92.31884057971016,79.52559300873907,0.8907919754991439,0.5926418267452357
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,@50,S-IoU,568,344,21,62.28070175438597,96.43463497453311,75.68287808127914,0.8907919754991439,0.5926418267452357
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,@75,IoU,513,399,177,56.25,74.34782608695653,64.04494382022473,0.8907919754991439,0.5926418267452357
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,@75,S-IoU,456,456,35,50.0,92.87169042769857,65.00356379187456,0.8907919754991439,0.5926418267452357
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_weighted,@50,IoU,637,275,53,69.84649122807018,92.31884057971016,79.52559300873907,0.8907829756610668,0.5932841937050045
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_weighted,@50,S-IoU,568,344,21,62.28070175438597,96.43463497453311,75.68287808127914,0.8907829756610668,0.5932841937050045
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_weighted,@75,IoU,513,399,177,56.25,74.34782608695653,64.04494382022473,0.8907829756610668,0.5932841937050045
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_weighted,@75,S-IoU,456,456,35,50.0,92.87169042769857,65.00356379187456,0.8907829756610668,0.5932841937050045
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,@50,IoU,546,82,144,86.94267515923568,79.13043478260869,82.85280728376328,0.762656428499484,0.4221490269037478
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,@50,S-IoU,457,171,92,72.77070063694268,83.24225865209472,77.65505522514867,0.762656428499484,0.4221490269037478
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,@75,IoU,370,258,320,58.917197452229296,53.62318840579711,56.145675265553876,0.762656428499484,0.4221490269037478
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,@75,S-IoU,383,245,102,60.98726114649682,78.96907216494846,68.82300089847261,0.762656428499484,0.4221490269037478
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,@50,IoU,635,219,55,74.35597189695551,92.02898550724638,82.2538860103627,0.8914093841169808,0.6444833296237106
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,@50,S-IoU,554,300,17,64.87119437939111,97.02276707530648,77.75438596491229,0.8914093841169808,0.6444833296237106
